set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_2,keyword_3
SOR,130,First Legion Snowtrooper,,FALSE,Unit,"Aggression,Villainy",2,"Imperial,Trooper","While attacking a damaged unit, this unit gets +2/+0 and gains Overwhelm.",,0,2,3,1,Milos Slaykovic,7/26/2023,FFG,https://starwarsunlimited.com/articles/a-taste-of-unlimited-possibilities,,,,,,,,
SOR,222,Waylay,,FALSE,Event,Cunning,3,Trick,Return a non-leader unit to its owner's hand.,,,,,1,Amélie Hutt,7/26/2023,FFG,https://starwarsunlimited.com/articles/a-taste-of-unlimited-possibilities,,,,,,,,
SOR,48,Vigilant Honor Guards,,FALSE,Unit,"Vigilance,Heroism",5,Rebel,"While this unit is undamaged, it gains Sentinel.",,0,4,6,1,Amad Mir,7/28/2023,Strictly Casual,https://www.youtube.com/shorts/vnenhAMgyM4,54,0,0,0,0,Sentinel (Conditional),,
SOR,244,Snowspeeder,,FALSE,Unit,Heroism,5,"Rebel,Vehicle,Speeder","Ambush

On Attack: Exhaust an enemy Vehicle ground unit.",,0,3,6,1,Fernando Correa,8/2/2023,FFG Stream,https://www.youtube.com/watch?v=bUFS3Zd61MA,55,0,0,0,0,Ambush,,
SOR,232,AT-ST,,FALSE,Unit,Villainy,6,"Imperial,Vehicle,Walker",Overwhelm,,0,6,7,1,Stephen Zavala,8/2/2023,FFG Stream,https://www.youtube.com/watch?v=bUFS3Zd61MA,56,0,0,0,0,Overwhelm,,
SOR,196,Chewbacca,Loyal Companion,TRUE,Unit,"Cunning,Heroism",5,"Underworld,Wookiee","Sentinel

When this unit is attacked: Ready him.",,0,3,6,2,Luke Harrington,8/2/2023,FFG Stream,https://www.youtube.com/watch?v=bUFS3Zd61MA,57,0,0,0,0,Sentinel,,
SOR,59,2-1B Surgical Droid,,FALSE,Unit,Vigilance,1,Droid,On Attack: You may heal 2 damage from another unit.,,0,1,3,1,Hoan Nguyen,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,,,,,,,,
SOR,3,Chewbacca,Walking Carpet,TRUE,Leader,"Vigilance,Heroism",7,"Underworld,Wookiee","Action {T}: Play a unit that costs 3 or less from your hand. It gains Sentinel for this phase.

Epic Action: If you control 7 or more resources, deploy this leader.","Sentinel

Grit",0,2,9,1,Eslam Aboshady,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,59,0,0,0,0,,,
SOR,231,TIE Advanced,,FALSE,Unit,Villainy,4,"Imperial,Fighter,Vehicle",When Played: Give 2 Experience tokens to another friendly Imperial unit.,,1,3,2,2,Eslam Aboshady,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,60,2,2,0,0,,,
SOR,66,System Patrol Craft,,FALSE,Unit,Vigilance,4,"Vehicle,Fighter",Sentinel,,1,3,4,1,Christian Papazoglakis,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,61,0,0,0,0,Sentinel,,
SOR,198,Han Solo,Reluctant Hero,TRUE,Unit,"Cunning,Heroism",7,Underworld,"Ambush

While attacking, this unit deals combat damage before teh defender.",,0,6,6,3,Borja Pindado,8/4/2023,GamesRadar,https://www.gamesradar.com/exclusive-look-at-han-solos-card-in-star-wars-unlimited/,62,0,0,0,0,Ambush,,
SOR,135,Emperor Palpatine,Master of the Dark Side,TRUE,Unit,"Aggression,Villainy",8,"Force,Imperial,Sith,Official","Overwhelm

When Played: Deal 6 damage divided as you choose among enemy units.",,0,6,6,3,Didier Nguyen,8/7/2023,FFG,https://twitter.com/UnlimitedFFG/status/1688565795205304320/,63,0,0,6,0,Overwhelm,,
SOR,89,Relentless,Konstantine's Folly,TRUE,Unit,"Command,Villainy",9,"Imperial,Vehicle,Capital Ship",The first event played by each opponent each round loses all abilities.,,1,8,8,3,Ross Taylor,8/9/2023,Polygon,https://www.polygon.com/23826374/star-wars-unlimited-rules-preview-tcg-release-date-price,,,,,,,,
SOR,60,Distant Patroller,,FALSE,Unit,Vigilance,2,"Fringe,Vehicle,Fighter",When Defeated: You may give a Shield token to a {Vigilance} unit.,,1,2,1,2,Francois Cannels,8/9/2023,Polygon,https://www.polygon.com/23826374/star-wars-unlimited-rules-preview-tcg-release-date-price,65,0,0,0,0,Shielded (Conditional),,
SOR,49,Obi-Wan Kenobi,Following Fate,TRUE,Unit,"Vigilance,Heroism",6,"Force,Jedi","Sentinel

When Defeated: Give 2 Experience tokens to another friendly unit. If it's a Force unit, draw a card.",,0,4,6,3,Amélie Hutt,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,66,2,2,0,0,Sentinel,,
SOR,35,Lieutenant Childsen,Death Star Prison Warden,TRUE,Unit,"Vigilance,Villainy",4,"Imperial,Official","Sentinel

When Played: Reveal up to 4 {Vigilance} cards from your hand. For each card revealed this way, give an Experience token to this unit.",,0,2,2,2,Yvette Chua,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,67,2,2,0,0,Sentinel,,
SOR,58,Vigilance,,FALSE,Event,"Vigilance,Vigilance",4,Innate,"Choose two, in any order:
- Discard 6 cards from an opponent's deck.
- Heal 5 damage from a base.
- Defeat a unit with 3 or less remaining HP.
- Give a Shield token to a unit.",,,,,4,Christina Laviña,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,,,,,,,,
SOR,19,Security Complex,,FALSE,Base,Vigilance,,Scarif,Epic Action: Give a Shield token to a non-leader unit.,,,,25,3,Tyler Edlin,8/15/2023,FFG,https://www.instagram.com/p/Cv-DDcqtgAz/,,,,,,,,
SOR,163,Star Wing Scout,,FALSE,Unit,Aggression,3,"Vehicle,Fighter","When Defeated: If you have the initiative, draw 2 cards.",,1,4,1,2,Fernando Correa,8/17/2023,Echo Base Gaming,https://twitter.com/EchoBase_Gaming/status/1692238934162743345,,,,,,,,
SOR,15,Boba Fett,Collecting the Bounty,TRUE,Leader,"Cunning,Villainy",5,"Underworld,Bounty Hunter","When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.

Epic Action: If you control 5 or more resources, deploy this leader.","When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.",0,4,7,1,French Carlomagno,8/18/2023,FFG,https://www.instagram.com/p/CwFxcoOtMnm/,,,,,,,,
SOR,72,Entrenched,,FALSE,Upgrade,Vigilance,2,Condition,Attached unit can't attack bases.,,,3,3,2,Borja Pindado,8/21/2023,FFG,https://www.instagram.com/p/CwNfzmfsn6K/,,,,,,,,
SOR,88,Blizzard Assault AT-AT,,FALSE,Unit,"Command,Villainy",8,"Imperial,Vehicle,Walker",When this unit attacks and defeats a unit: You may deal the excess damage from this attack to an enemy ground unit.,,0,9,9,2,Arthur Mougne,8/22/2023,Rolling Dice and Taking Names,https://twitter.com/DiceAndNames/status/1694032378761560112,,,,,,,,
SOR,126,Resupply,,FALSE,Event,Command,3,Supply,Put this event into play as a resource.,,,,,1,Robynn Frauhn,8/22/2023,Rolling Dice and Taking Names,https://twitter.com/DiceAndNames/status/1694032378761560112,,,,,,,,
SOR,194,Rogue Operative,,FALSE,Unit,"Cunning,Heroism",3,"Rebel,Trooper","Saboteur

Raid 2",,0,2,4,1,Steve Morris,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,75,0,0,0,0,Saboteur,Raid 2,
SOR,92,Overwhelming Barrage,,FALSE,Event,"Command,Villainy",5,Tactic,"Give a friendly unit +2/+2 for this phase. Then, it deals damage equal to its power divided as you choose among any number of other units.",,,,,2,Francois Cannels,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,
SOR,53,Luke's Lightsaber,,TRUE,Upgrade,"Vigilance,Heroism",2,"Item,Weapon,Lightsaber","Attach to a non-Vehicle unit.

When Played: If attached unit is Luke Skywalker, heal all damage from him and give a Shield token to him.",,,3,1,0,French Carlomagno,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,
SOR,86,Gladiator Star Destroyer,,FALSE,Unit,"Command,Villainy",6,"Imperial,Vehicle,Capital Ship",When Played: Give a unit Sentinel for this phase.,,1,5,6,1,Arthur Mougne,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,78,0,0,0,0,Sentinel (Conditional),,
SOR,129,Admiral Ozzel,Overconfident,TRUE,Unit,"Aggression,Villainy",2,"Imperial,Official",Action {T}: Play an Imperial unit from your hand. It enters play ready. Each opponent may ready a unit.,,0,2,3,2,Yvette Chua,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,
SOR,218,Asteroid Sanctuary,,FALSE,Event,Cunning,2,Trick,"Exhaust an enemy unit.

Give a Shield token to a friendly unit that costs 3 or less.",,,,,1,Rebecca Farrow,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,
SOR,242,General Dodonna,Massassi Group Commander,TRUE,Unit,Heroism,4,"Rebel,Official",Other friendly Rebel units get +1/+1.,,0,4,4,2,Steve Morris,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,81,1,1,0,0,,,
SOR,230,General Veers,Blizzard Force Commander,TRUE,Unit,Villainy,3,"Imperial,Official",Other friendly Imperial units get +1/+1.,,0,3,3,2,Steve Morris,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,82,1,1,0,0,,,
SOR,217,Shoot First,,FALSE,Event,Cunning,1,Trick,Attack with a unit. It gets +1/+0 for this attack and deals its combat damage before the defender.,,,,,2,Ario Murti,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,
SOR,75,It Binds All Things,,FALSE,Event,Vigilance,2,Force,"Heal up to 3 damage from a unit. If you control a Force unit, you may deal that much damage to another unit.",,,,,3,Amélie Hutt,8/28/2023,FFG,https://www.instagram.com/reel/CwfhXlssI8J/,,,,,,,,
SOR,179,Boba Fett,Disintegrator,TRUE,Unit,"Cunning,Villainy",3,"Underworld,Bounty Hunter","On Attack: If this unit is attacking an exhausted unit that didn't enter play this round, deal 3 damage to the defender.",,0,3,5,4,French Carlomagno,8/30/2023,Hobbies + Happiness,https://www.youtube.com/watch?v=d9hcXjHQxbQ,,,,,,,,
SOR,184,Fett's Firespray,Pursuing the Bounty,TRUE,Unit,"Cunning,Villainy",6,"Underworld,Vehicle,Transport","When Played: If you control Boba Fett or Jango Fett, ready this unit.

Action [{R:2}]: Exhaust a non-unique unit.",,1,5,6,3,Andre Mealha,8/31/2023,Hobbies + Happiness,https://www.youtube.com/watch?v=TozOTpmoOoU,,,,,,,,
SOR,7,Grand Moff Tarkin,Oversector Governor,TRUE,Leader,"Command,Villainy",5,"Imperial,Official","Action [{R1}, {T}]: Give an Experience token to an Imperial unit.

Epic Action: If you control 5 or more resources, deploy this leader.",On Attack: You may give an Experience token to another Imperial unit.,0,2,7,1,Tomas Oleksak,9/1/2023,FFG,https://www.instagram.com/reel/Cwp0j43szL2/,,,,,,,,
SOR,67,Rugged Survivors,,FALSE,Unit,Vigilance,5,Fringe,"Grit

On Attack: If you control a leader unit, you may draw a card.",,0,3,5,1,Elena Skitalets,9/4/2023,FFG,https://www.instagram.com/reel/Cwxi8kopeyO,88,0,0,0,0,Grit,,
SOR,102,Home One,Alliance Flagship,TRUE,Unit,"Command,Heroism",8,"Rebel,Vehicle,Capital Ship","Restore 2

Each other friendly unit gains Restore 1.

When Played: Play a {Heroism} unit from your discard pile. It costs {R3} less.",,1,7,7,4,Amélie Hutt,9/6/2023,FFG Stream,https://www.youtube.com/watch?v=DkykRONC6GE,89,0,0,0,0,Restore 2,Restore 2 (Conditional),
SOR,97,Admiral Ackbar,Brilliant Strategist,TRUE,Unit,"Command,Heroism",3,"Rebel,Official","Restore 1

When Played: You may deal damage to a unit equal to the number of units your control in its arena.",,0,1,4,3,Luke Harrington,9/6/2023,FFG Stream,https://www.youtube.com/watch?v=DkykRONC6GE,90,0,0,2,0,Restore 1,,
SOR,125,Prepare for Takeoff,,FALSE,Event,Command,2,Plan,"Search the top 8 cards of your deck for up to 2 Vehicle units, reveal them, and draw them.",,,,,2,Ario Murti,9/6/2023,FFG Stream,https://www.youtube.com/watch?v=DkykRONC6GE,,,,,,,,
SOR,107,Command,,FALSE,Event,"Command,Command",4,Innate,"Choose 2, in any order:
- Give 2 Experience tokens to a unit.
- A friendly unit deals damage equal to its power to a non-unique enemy unit.
- Put this event into play as a resource.
- Return a unit from your discard pile to your hand.",,,,,4,Maxine Vee,9/6/2023,FFG Stream,https://www.youtube.com/watch?v=DkykRONC6GE,,,,,,,,
SOR,69,Resilient,,FALSE,Upgrade,Vigilance,1,Innate,,,,0,3,1,Joshua Carson,9/8/2023,Cross World TCG,https://www.youtube.com/watch?v=3UzLC-tKExk,,,,,,,,
SOR,123,Recruit,,FALSE,Event,Command,1,Supply,"Search the top 5 cards of your deck for a unit, reveal it, and draw it.",,,,,1,Borja Pindado,9/8/2023,Cross World TCG,https://www.youtube.com/watch?v=3UzLC-tKExk,,,,,,,,
SOR,79,Admiral Piett,Captain of the Executor,TRUE,Unit,"Command,Villainy",2,"Imperial,Official",Each friendly non-leader unit that costs 6 or more gains Ambush.,,0,1,4,2,Denis Medri,9/8/2023,Cross World TCG,https://www.youtube.com/watch?v=3UzLC-tKExk,95,0,0,0,0,Ambush (Conditional),,
SOR,109,Colonel Yularen,ISB Director,TRUE,Unit,Command,2,"Imperial,Official",When you play a {Command} unit: Heal 1 damage from your base.,,0,2,3,2,David Buisan,9/11/2023,What A Piece Of Junk!,https://www.youtube.com/watch?v=9jOKd4qzld4,,,,,,,,
SOR,22,Energy Conversion Lab,,FALSE,Base,Command,,Eadu,Epic Action: Play a unit that costs 6 or less from your hand. Give it Ambush for this phase.,,,,25,3,Adrien Girod,9/12/2023,FFG,https://www.instagram.com/reel/CxGJTR7Nhy1/,,,,,,,,
SOR,33,Death Trooper,,FALSE,Unit,"Vigilance,Villainy",3,"Imperial,Trooper",When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,,0,3,3,1,Borja Pindado,9/13/2023,Garbage Rollers,https://garbagerollers.com/2023/09/13/are-we-blind-deploy-the-spoilers/,98,0,0,2,0,,,
SOR,115,Agent Kallus,Seeking the Rebels,TRUE,Unit,Command,5,"Imperial,Trooper","Ambush

When another unique unit is defeated: You may draw a card. Use this ability only once each round.",,0,4,4,3,Omercan Cirit,9/14/2023,Holocron Gaming,https://www.youtube.com/watch?v=xHGQvcV88QY,99,0,0,0,1,Ambush,,
SOR,14,Sabine Wren,Galvanized Revolutionary,TRUE,Leader,"Aggression,Heroism",4,"Mandalorian,Rebel,Spectre",Action [{T}]: Deal 1 damage to each base.,On Attack: Deal 1 damage to each enemy base.,0,2,5,1,Eslam Aboshady,9/15/2023,FFG,https://www.instagram.com/p/CxN3s5_sJzH/,,,,,,,,
SOR,121,Hardpoint Heavy Blaster,,FALSE,Upgrade,Command,2,"Modification,Weapon","Attach to a vehicle unit.

Attached unit gains: “On Attack: If this unit isn't attacking a base, you may deal 2 damage to a unit in the defender's arena.”",,,2,2,2,Arthur Mougne,9/18/2023,FFG,https://www.instagram.com/p/CxVmD9Hsta1/,,,,,,,,
SOR,47,Kanan Jarrus,Revealed Jedi,TRUE,Unit,"Vigilance,Heroism",4,"Force,Jedi,Rebel,Spectre",On Attack: You may discard 1 card from the defending player's deck for each friendly Spectre unit. Heal 1 damage from your base for each different aspect among the discarded cards.,,0,4,5,2,Sandra Chlewi?ska,9/20/2023,FFG,https://www.youtube.com/watch?v=dCu_3gDUx2o,103,0,0,0,0,Restore 1,,
