set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,back side ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional
TWI,11,Ahsoka Tano,Snips,TRUE,Leader,"Aggression,Heroism",5,"Force,Jedi,Republic",Coordinate - Action [{T}]: Attack with a unit. It gets +1/+0 for this attack.,Coordinate - This unit gets +2/+0.,0,3,6,0,David Buisan,8/1/2024,FFG,https://starwarsunlimited.com/articles/twilight-of-the-republic,526,0,0,0,0,Coordinate,FALSE,,,,
TWI,12,Anakin Skywalker,What It Takes To Win,TRUE,Leader,"Aggression,Heroism",6,"Force,Jedi,Republic","Action [{T}, deal 2 damage to your base]: Attack with a unit. If it's attacking a unit, it gets +2/+0 for this attack.

Epic Action: If you control 6 or more resources, deploy this leader.","Overwhelm

This unit gets +1/+0 for every 5 damage on your base.",0,4,7,1,Kevin Libranda,10/14/2024,FFG,https://twitter.com/UnlimitedFFG/status/1845842234567966751,689,0,0,0,0,Overwhelm,FALSE,,,,
TWI,13,Mace Windu,Vaapad Form Master,TRUE,Leader,"Aggression,Heroism",7,"Force,Jedi,Republic","Action [{R1}, {T}]: Deal 1 damage to a damaged enemy unit. Then, if it has 5 or more damage on it, deal 1 damage to it.

Epic Action: If you control 7 or more resources, deploy this leader.",When Deployed: Deal 2 damage to each damaged enemy unit.,0,5,8,3,Eric Hibbeler,9/17/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DABcQmoNWsl/,608,0,0,0,0,,,,,,
TWI,14,Asajj Ventress,Unparalleled Adversary,TRUE,Leader,"Cunning,Villainy",4,"Force,Separatist,Sith","Action [{T}]: Attack with a unit. If you played an event this phase, it gets +1/+0 for this attack.

Epic Action: If you control 4 or more resources, deploy this leader.","On Attack: If you played an event this phase, this unit gets +1/+0 for this attack and deals combat damage before the defender.",0,3,4,3,Reno,10/15/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DBJi2rhS-1s/,694,0,0,0,0,,,,,,
TWI,15,General Grievous,General of the Droid Armies,TRUE,Leader,"Cunning,Villainy",6,"Separatist,Official",Action [{T}]: Give a Droid unit Sentinel for this phase.,On Attack: You may give a Droid unit +1/+0 and Sentinel for this phase.,0,4,8,0,David Buisan,8/1/2024,FFG,https://starwarsunlimited.com/articles/twilight-of-the-republic,525,0,0,0,0,,,,,,
TWI,16,Jango Fett,Concealing the Conspiracy,TRUE,Leader,"Cunning,Villainy",5,"Underworld,Bounty Hunter","When a friendly unit deals damage to an enemy unit: You may exhaust this leader. If you do, exhaust that enemy unit.

Epic Action: If you control 5 or more resources, deploy this leader.",When a friendly unit deals damage to an enemy unit: You may exhaust that unit.,0,3,7,1,Jake Parker,9/19/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAGm3zVyjM0/,613,0,0,0,0,,,,,,
TWI,17,Chancellor Palpatine,Playing Both Sides,TRUE,Leader,"Cunning,Heroism,Villainy",,"Republic,Official,Force,Separatist,Sith","This leader starts the game with this side faceup.

Action [{T}]: If a friendly {Heroism} unit was defeated this phase, draw a card, heal 2 damage from your base, then flip this leader.","Action [{T}]: If you played a {Villainy} card this phase, create a Clone Trooper token, deal 2 damage to each enemy base, then flip this leader.",,,,3,Ario Murti,10/18/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DBRQ7ZeSMSw/,718,0,0,0,0,,,,,,
TWI,18,Quinlan Vos,Sticking the Landing,TRUE,Leader,"Cunning,Heroism",5,"Force,Jedi,Republic","When you play a unit: You may exhaust this leader. If you do, deal 1 damage to an enemy unit that costs the same as the played unit.

Epic Action: If you control 5 or more resources, deploy this leader.",When you play a unit: You may  deal 1 damage to an enemy unit that costs the same as  or less than the played unit.,0,3,7,1,Christina Laviña,10/1/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAlfUQuSW8s/,643,0,0,0,0,,,,,,
TWI,19,Pau City,,FALSE,Base,Vigilance,,Utapau,Each leader unit you control gets +0/+1.,,,,26,3,Rocío Espín,9/17/2024,FFG,https://x.com/UnlimitedFFG/status/1836118042947785068,610,0,0,0,0,,,,,,
TWI,20,Sundari,,FALSE,Base,Vigilance,,Mandalore,,,,,30,1,Amélie Hutt,10/22/2024,Press Kit Day,https://x.com/ggDoA/status/1848733793160446289/photo/1,755,0,0,0,0,,,,,,
TWI,21,The Crystal City,,FALSE,Base,Vigilance,,Cristophsis,,,,,30,1,Amélie Hutt,10/22/2024,Press Kit Day,https://x.com/ggDoA/status/1848732234225738046/photo/1,754,0,0,0,0,,,,,,
TWI,22,Droid Manufactory,,FALSE,Base,Command,,Geonosis,When you deploy a leader: Create 2 Battle Droid tokens.,,,,24,3,Rocío Espín,9/10/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_v2IHRpF8C/,578,0,0,0,0,,,,,,
TWI,23,Lair of Grievous,,FALSE,Base,Command,,Vassek,,,,,30,1,Rocío Espín,10/9/2024,FFG Stream,https://www.youtube.com/watch?v=xPurM1vUfMw,666,0,0,0,0,,,,,,
TWI,24,Tipoca City,,FALSE,Base,Command,,Kamino,,,,,30,1,Sebastián Guidobono,10/9/2024,FFG Stream,https://www.youtube.com/watch?v=xPurM1vUfMw,667,0,0,0,0,,,,,,
TWI,25,Shadow Collective Camp,,FALSE,Base,Aggression,,Zanbar,When you deploy a leader: Draw a card.,,,,25,3,Amélie Hutt,9/24/2024,FFG,https://x.com/UnlimitedFFG/status/1838669832721502569,627,0,0,0,0,,,,,,
TWI,26,KCM Mining Facility,,FALSE,Base,Aggression,,Mustafar,,,,,30,1,Adrien Girod,10/22/2024,Press Kit Day,https://x.com/ggDoA/status/1848731814904373447/photo/1,753,0,0,0,0,,,,,,
TWI,27,The Nest,,FALSE,Base,Aggression,,Onderon,,,,,30,1,Natcha Ngamtweerat,10/16/2024,FFG Stream,https://www.youtube.com/watch?v=3NwC_4fO6h4,767,0,0,0,0,,,,,,
TWI,28,Petranaki Arena,,FALSE,Base,Cunning,,Geonosis,Each leader unit you control gets +1/+0.,,,,26,3,Rocío Espín,9/3/2024,FFG,https://twitter.com/UnlimitedFFG/status/1831089856128168384,549,0,0,0,0,,,,,,
TWI,29,Level 1313,,FALSE,Base,Cunning,,Coruscant,,,,,30,1,Adrien Girod,10/22/2024,Press Kit Day,,763,0,0,0,0,,,,,,
TWI,30,Pyke Palace,,FALSE,Base,Cunning,,Oba Diah,,,,,30,1,Adrien Girod,10/22/2024,Press Kit Day,,764,0,0,0,0,,,,,,
TWI,31,Rune Haako,Scheming Second,TRUE,Unit,"Vigilance,Villainy",2,"Separatist,Official","When Played: If a friendly unit was defeated this phase, you may give a unit -1/-1 for this phase.",,0,3,2,2,Sebastián Guidobono,9/26/2024,Magic Arcanum,https://www.youtube.com/watch?v=h_Faf8JYzBs,631,0,0,1,0,,,,,,
TWI,32,Wartime Trade Official,,FALSE,Unit,"Vigilance,Villainy",2,"Separatist,Official",When Defeated: Create a Battle Droid token.,,0,1,3,1,Leonardo Giammichele,9/11/2024,FFG Stream,https://www.youtube.com/live/r-EmeX_tYHY,592,1,1,0,0,,,,,,
TWI,33,Calculating MagnaGuard,,FALSE,Unit,"Vigilance,Villainy",3,"Separatist,Droid",When Played/When a friendly unit is defeated: This unit gains Sentinel for this phase.,,0,3,4,2,Alex Chen,9/11/2024,FFG Stream,https://www.youtube.com/live/r-EmeX_tYHY,591,0,0,0,0,Sentinel,TRUE,,,,
TWI,34,General Grievous,Trophy Collector,TRUE,Unit,"Vigilance,Villainy",3,"Separatist,Official","Ignore the aspect penalty on each Lightsaber upgrade you play on this unit.

On Attack: If this unit has 4 or more Lightsaber upgrades attached to him, defeat 4 enemy units.",,0,4,4,4,French Carlomagno,9/20/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAJKfMkyWZ5/,617,0,0,0,0,,,,,,
TWI,35,Morgan Elsbeth,Keeper of Many Secrets,TRUE,Unit,"Vigilance,Villainy",4,"Force,Imperial,Official","Restore 1

On Attack: You may defeat another friendly unit. If you do, draw a card.",,0,3,6,3,David Buisan,10/4/2024,wooooo,https://www.youtube.com/watch?v=iC07KdU1VpE,658,0,0,0,0,Restore,FALSE,,,,
TWI,36,Devastating Gunship,,FALSE,Unit,"Vigilance,Villainy",5,"Separatist,Droid,Vehicle,Transport","Grit

When Played: Defeat an enemy unit with 2 or less remaining HP.",,1,3,5,1,Afif Khaled,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,745,0,0,0,0,Grit,FALSE,,,,
TWI,37,Droideka Security,,FALSE,Unit,"Vigilance,Villainy",6,"Separatist,Droid","Exploit 2

Sentinel",,0,4,5,1,Marc Escachx,10/14/2024,TCG Cast,https://twitter.com/TCG__Cast/status/1845872199091310608/photo/1,692,0,0,0,0,Exploit,FALSE,Sentinel,FALSE,,
TWI,38,Providence Destroyer,,FALSE,Unit,"Vigilance,Villainy",8,"Separatist,Vehicle,Capital Ship","Exploit 2

On Attack: Give an enemy space unit -2/-2 for this phase.",,1,5,7,2,Fernando Correa,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,750,0,0,2,0,,,,,,
TWI,39,Malevolence,Grievous's Secret Weapon,TRUE,Unit,"Vigilance,Villainy",9,"Separatist,Vehicle,Capital Ship","Exploit 4

Restore 2

When Played: Give an enemy unit -4/-0 for this phase. It can't attack for this phase.",,1,7,7,3,French Carlomagno,9/27/2024,FFG,https://twitter.com/UnlimitedFFG/status/1839689026434920940,632,0,0,0,0,Restore,FALSE,Exploit,FALSE,,
TWI,40,A Fine Addition,,FALSE,Event,"Vigilance,Villainy",0,Supply,"If an enemy unit was defeated this phase, play an upgrade from your hand or from any player's discard pile, ignoring its aspect penalty.",,,,,3,Arthur Mougne,9/21/2024,I Rebel,https://www.youtube.com/watch?v=p1CMe0sCqaI,620,0,0,0,0,,,,,,
TWI,41,Lethal Crackdown,,FALSE,Event,"Vigilance,Villainy",4,Tactic,Defeat a non-leader unit. Deal damage to your base equal to that unit's power.,,,,,2,Omercan Cirit,10/22/2024,Press Kit Day,https://x.com/GoldenDicePod/status/1848727658818871740/photo/1,756,0,0,0,0,,,,,,
TWI,42,Barriss Offee,Unassuming Apprentice,TRUE,Unit,"Vigilance,Heroism",1,"Force,Jedi,Republic",Each friendly unit that was healed this phase gets +1/+0.,,0,1,1,3,Tatsiana Maksimuk,10/22/2024,Press Kit Day,https://x.com/IRebelDestiny/status/1848716932456870149/photo/4,737,0,0,0,0,,,,,,
TWI,43,Outspoken Representative,,FALSE,Unit,"Vigilance,Heroism",2,"Republic,Official","While you control another Republic unit, this unit gains Sentinel.

When Defeated: Create a Clone Trooper token.",,0,0,3,1,Leonardo Giammichele,9/11/2024,Spice Squadron,https://www.youtube.com/watch?v=n-W4hVqJt4Y,596,0,2,2,0,Sentinel,TRUE,,,,
TWI,44,Kashyyyk Defender,,FALSE,Unit,"Vigilance,Heroism",2,Wookiee,"Grit

When Played: Heal up to 2 damage from another unit and deal that much damage to this unit.",,0,0,5,2,Luke Harrington,9/4/2024,FFG Stream,https://www.youtube.com/watch?v=Ygfp4x7i70k,560,0,0,0,0,Grit,FALSE,,,,
TWI,45,41st Elite Corps,,FALSE,Unit,"Vigilance,Heroism",3,"Republic,Clone,Trooper",Coordinate - This unit gets +0/+3.,,0,3,3,1,Eslam Aboshady,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,744,0,0,0,0,Coordinate,FALSE,,,,
TWI,46,Captain Typho,Protecting the Senator,TRUE,Unit,"Vigilance,Heroism",3,"Naboo,Republic,Trooper",When Played/On Attack: Give a unit Sentinel for this phase.,,0,2,4,2,Sandra Chlewińska,9/9/2024,Maindeck,https://www.youtube.com/watch?v=_nzRmHvI5DA,575,0,0,0,0,Sentinel,TRUE,,,,
TWI,47,Satine Kryze,Committed to Peace,TRUE,Unit,"Vigilance,Heroism",4,"Mandalorian,Official","Each unit gains: ""Action [{T}]: Discard cards from an opponent's deck equal to half this unit's remaining HP, rounded up.""",,0,0,6,4,Mona Finden,10/7/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DA08Iz7vy7f/,660,0,0,0,0,,,,,,
TWI,48,Obi-Wan's Aethersprite,This Is Why I Hate Flying,TRUE,Unit,"Vigilance,Heroism",5,"Jedi,Republic,Vehicle,Fighter",When Played/On Attack: You may deal 1 damage to this unit and 2 damage to another space unit.,,1,4,6,2,French Carlomagno,9/3/2024,Never Bored Gaming,https://www.instagram.com/reel/C_dfztqOHa1/,547,0,0,2,0,,,,,,
TWI,49,Knight of the Republic,,FALSE,Unit,"Vigilance,Heroism",6,"Force,Jedi,Republic",When this unit is attacked: Create a Clone Trooper token.,,0,4,7,1,Amad Mir,9/4/2024,FFG Stream,https://www.youtube.com/watch?v=Ygfp4x7i70k,561,1,1,0,0,,,,,,
TWI,50,Luminara Unduli,Soft-Spoken Master,TRUE,Unit,"Vigilance,Heroism",7,"Force,Jedi,Republic","Coordinate - Grit

When Played: Choose a base. Heal 1 damage from it for each unit you control.",,0,4,9,3,Robynn Frauhn,9/30/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAi7H8ySpJv/,641,0,0,0,0,Coordinate,FALSE,Grit,TRUE,,
TWI,51,For the Republic,,FALSE,Upgrade,"Vigilance,Heroism",3,Republic,"If you control 3 or more Republic units, this upgrade costs {R2} less to play.

Attached unit gains: ""Coordinate - Restore 2.""",,,0,0,3,Artist TBD,10/22/2024,Press Kit Day,,776,0,0,0,0,,,,,,
TWI,52,Hello There,,FALSE,Event,"Vigilance,Heroism",3,Trick,Choose a unit that entered play this phase. It gets -4/-4 for this phase.,,,,,2,David Nash,9/3/2024,Golden Dice Podcast,https://www.youtube.com/watch?v=gokDunenFUY,546,0,0,0,0,,,,,,
TWI,53,Finn,On the Run,TRUE,Unit,"Vigilance,Vigilance",3,"Fringe,Trooper","When this unit completes an attack: Choose a unique unit. For this phase, if damage would be dealt to that unit, prevent 1 of that damage.",,0,3,4,3,Sebastián Guidobono,10/18/2024,FFG,https://x.com/UnlimitedFFG/status/1847321877766623673,713,0,0,0,0,,,,,,
TWI,54,Duchess's Champion,,FALSE,Unit,"Vigilance,Vigilance",4,Mandalorian,"While an opponent controls 3 or more units, this unit gains Sentinel.",,0,1,8,2,Guillaume Ospital,10/8/2024,TwinSunz,https://www.youtube.com/watch?v=uZdLAjwyuFI,662,0,0,0,0,Sentinel,TRUE,,,,
TWI,55,Equalize,,FALSE,Event,"Vigilance,Vigilance",3,Tactic,"Give a unit -2/-2 for this phase. Then, if you control fewer units than that unit's controller, give another unit -2/-2 for this phase.",,,,,3,Kevin Libranda,9/18/2024,FFG Stream,https://www.youtube.com/watch?v=Ln7Nwo_I_BQ,612,0,0,0,0,,,,,,
TWI,56,Compassionate Senator,,FALSE,Unit,Vigilance,1,"Republic,Official","Action [{R2}, {T}]: Heal 2 damage from a unit or base.",,0,0,4,2,Milos Slaykovic,10/22/2024,Press Kit Day,,773,0,0,0,0,,,,,,
TWI,57,Warrior Drone,,FALSE,Unit,Vigilance,1,Separatist,,,0,1,4,1,Luke Harrington,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,743,0,0,0,0,,,,,,
TWI,58,Padawan Starfighter,,FALSE,Unit,Vigilance,2,"Jedi,Republic,Vehicle,Fighter","While you control a Force unit or a Force upgrade, this unit gets +1/+1.",,1,1,3,1,Christian Papazoglakis,10/16/2024,mundogalapagos,https://www.instagram.com/p/DBMOKc9pP4U/,701,1,1,0,0,,,,,,
TWI,59,Royal Guard Attaché,,FALSE,Unit,Vigilance,2,"Naboo,Trooper",When Played: Deal 2 damage to this unit.,,0,2,5,1,Gabriel Gomez Almenzar,9/3/2024,Never Bored Gaming,https://www.instagram.com/reel/C_dfztqOHa1,548,0,-2,0,0,,,,,,
TWI,60,Trade Federation Shuttle,,FALSE,Unit,Vigilance,3,"Separatist,Vehicle,Transport","When Played: If you control a damaged unit, create a Battle Droid token.",,1,2,3,1,Fernando Correa,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,747,1,1,0,0,,,,,,
TWI,61,Infantry of the 212th,,FALSE,Unit,Vigilance,3,"Republic,Clone,Trooper",Coordinate - Sentinel,,0,2,4,1,Sebastián Guidobono,9/4/2024,Starlight Beacon Transmissions,https://www.youtube.com/watch?v=ClamCZhJf-Y,551,0,0,0,0,Coordinate,FALSE,Sentinel,TRUE,,
TWI,62,Daughter of Dathomir,,FALSE,Unit,Vigilance,4,"Force,Night","While this unit is undamaged, it gains Restore 2.",,0,3,5,1,Marc Escachx,10/16/2024,FFG Stream,https://www.youtube.com/live/3NwC_4fO6h4,704,0,0,0,0,Restore,TRUE,,,,
TWI,63,Vulture Interceptor Wing,,FALSE,Unit,Vigilance,4,"Separatist,Droid,Vehicle,Fighter",On Attack: Give an enemy unit -1/-1 for this phase.,,1,3,3,2,Johnny Morrow,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,749,0,0,1,0,,,,,,
TWI,64,Ki-Adi-Mundi,Composed and Confident,TRUE,Unit,Vigilance,5,"Force,Jedi,Republic",Coordinate - When an opponent plays their second card each phase: You may draw 2 cards.,,0,5,7,4,Amélie Hutt,9/6/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_lHh12Bavk/,567,0,0,0,0,Coordinate,FALSE,,,,
TWI,65,Falchion Ion Tank,,FALSE,Unit,Vigilance,6,"Republic,Vehicle,Tank",Sentinel,,0,4,6,1,Kyle Petchock,10/22/2024,Press Kit Day,https://x.com/ggDoA/status/1848733553841840365/photo/1,740,0,0,0,0,Sentinel,FALSE,,,,
TWI,66,Multi-Troop Transport,,FALSE,Unit,Vigilance,7,"Separatist,Vehicle,Tank","Exploit 2

On Attack: Create a Battle Droid token.",,0,3,6,1,Kyle Petchock,9/26/2024,Magic Arcanum,https://www.youtube.com/watch?v=h_Faf8JYzBs,630,1,1,0,0,Exploit,FALSE,,,,
TWI,67,The Zillo Beast,Awoken from the Depths,TRUE,Unit,Vigilance,9,Creature,"When Played: Give each enemy ground unit -5/-0 for this phase.

When the regroup phase starts: Heal 5 damage from this unit.",,0,10,10,3,Aitor Prieto,10/18/2024,Hunter Friends,https://www.youtube.com/shorts/mmZCatbL0vw,712,0,0,0,0,,,,,,
TWI,68,Foresight,,FALSE,Upgrade,Vigilance,1,Learned,"Attached unit gains: ""When the regroup phase starts: Name a card, then look at the top card of your deck. If it's the named card, you may reveal and draw it.""",,,0,0,3,Tatsiana Maksimuk,10/19/2024,Quest for the Janklord,https://www.youtube.com/watch?v=Gny0VYeJdTk,717,0,0,0,0,,,,,,
TWI,69,Roger Roger,,FALSE,Upgrade,Vigilance,1,Learned,When Defeated: Attach this upgrade to a friendly Battle Droid token.,,,0,0,3,JB Casacop,10/15/2024,Wossy Plays,https://www.youtube.com/watch?v=NyvOZvxz_64,695,0,0,0,0,,,,,,
TWI,70,Perilous Position,,FALSE,Upgrade,Vigilance,3,Condition,When Played: Exhaust attached unit.,,,0,0,1,Omercan Cirit,10/22/2024,Press Kit Day,https://x.com/GoldenDicePod/status/1848727658818871740/photo/1,757,0,0,0,0,,,,,,
TWI,71,Unshakeable Will,,FALSE,Upgrade,Vigilance,4,Innate,Attached unit gains Sentinel.,,,0,0,2,Tatsiana Maksimuk,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,748,0,0,0,0,,,,,,
TWI,72,I Have the High Ground,,FALSE,Event,Vigilance,1,Tactic,Choose a friendly unit. Each enemy unit gets -4/-0 while attacking that unit this phase.,,,,,3,James Daly,9/13/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_3JmJ8JmFA/,601,0,0,0,0,,,,,,
TWI,73,Grievous Reassembly,,FALSE,Event,Vigilance,2,Supply,Heal 3 damage from a unit. Create a Battle Droid token.,,,,,1,Johnny Morrow,10/16/2024,Man vs Meeple,https://www.youtube.com/watch?v=LoHkXEXOvtY,702,0,0,0,0,,,,,,
TWI,74,Guarding the Way,,FALSE,Event,Vigilance,2,Tactic,"Give a unit Sentinel for this phase.

If you have the initiative, also give that unit +2/+2 for this phase.",,,,,1,David Buisan,10/22/2024,Press Kit Day,https://www.youtube.com/watch?v=gqqA4aEtESY,746,0,0,0,0,,,,,,
TWI,75,Disruptive Burst,,FALSE,Event,Vigilance,3,Tactic,Give each enemy unit -1/-1 for this phase.,,,,,2,Hoan Nguyen,10/22/2024,Press Kit Day,,771,0,0,0,0,,,,,,
TWI,76,Death by Droids,,FALSE,Event,Vigilance,5,Tactic,Defeat a unit that costs 3 or less. Create 2 Battle Droid tokens.,,,,,2,Christian Papazoglakis,10/18/2024,Hunter Friends,https://www.youtube.com/shorts/mmZCatbL0vw,711,0,0,0,0,,,,,,
TWI,77,Vanquish,,FALSE,Event,Vigilance,5,Tactic,Defeat a non-leader unit.,,,,,1,Eslam Aboshady,,,,,,,,,,,,,,
TWI,78,The Invasion of Christophsis,,FALSE,Event,Vigilance,15,"Separatist,Plan","Exploit 4

Choose an opponent. Defeat each unit that player controls.",,,,,4,French Carlomagno,9/6/2024,dragonriderTCCG,https://www.youtube.com/watch?v=7z5WOE-njV4,570,0,0,0,0,Exploit,FALSE,,,,
TWI,79,Confederate Courier,,FALSE,Unit,"Command,Villainy",2,"Separatist,Vehicle,Fighter",When Defeated: Create a Battle Droid token.,,1,2,1,1,Amad Mir,9/13/2024,Jade Throne Podcast,https://www.youtube.com/watch?v=VU0x0Rso4ZY,602,1,1,0,0,,,,,,
TWI,80,Poggle the Lesser,Archduke of the Stalgasin Hive,TRUE,Unit,"Command,Villainy",2,"Separatist,Official","When you play another unit: You may exhaust this unit. If you do, create a Battle Droid token.",,0,1,4,3,Amad Mir,10/4/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAtNx0YyBhh/,657,1,1,0,0,,,,,,
TWI,81,Droid Commando,,FALSE,Unit,"Command,Villainy",3,"Separatist,Droid,Trooper","While you control another Separatist unit, this unit gains Ambush.",,0,4,3,1,Kyle Petchock,9/12/2024,Rolling Solo,https://twitter.com/TryRollingSolo/status/1834358966433829264,600,0,0,0,0,Ambush,TRUE,,,,
TWI,82,MagnaGuard Wing Leader,,FALSE,Unit,"Command,Villainy",3,"Separatist,Vehicle,Fighter","Action: Attack with a Droid unit. Then, attack with another Droid unit. Use this ability only once each round.",,1,3,4,2,Francois Cannels,9/11/2024,FFG Stream,https://www.youtube.com/watch?v=r-EmeX_tYHY,595,0,0,0,0,,,,,,
