set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional,Smuggle Cost
SOR,11,Grand Inquisitor,Hunting the Jedi,TRUE,Leader,"Aggression,Villainy",6,"Force,Imperial,Inquisitor",Action [{T}]: Deal 2 damage to a friendly unit with 3 or less power and ready it.,On Attack: You may deal 1 damage to another friendly unit with 3 or less power and ready it.,0,3,6,3,Borja Pindado,9/29/2023,FFG,https://twitter.com/UnlimitedFFG/status/1707772416716419580,,,,,,,,,,,,
SOR,12,IG-88,Ruthless Bounty Hunter,TRUE,Leader,"Aggression,Villainy",5,"Underworld,Droid,Bounty Hunter","Action [{T}]: Attack with a unit. If you control more units than the defending player, the attacker gets +1/+0 for this attack.",Each other friendly unit gains Raid 1.,0,5,4,1,Hoan Nguyen,1/5/2024,FFG,https://twitter.com/UnlimitedFFG/status/1743301422102229280,112,0,0,0,0,,,,,,,
SOR,13,Cassian Andor,Dedicated to the Rebellion,TRUE,Leader,"Aggression,Heroism",6,Rebel,"Action [{R1}, {T}]: If you've dealt 3 or more damage to an enemy base this phase, draw a card.

Epic Action: If you control 6 or more resources, deploy this leader.","Saboteur

When you deal damage to an enemy base: You may draw a card. Use this ability only once each round.",0,4,6,3,Mickael Balloul,12/22/2023,FFG,https://www.instagram.com/p/C1KUe03MbJt/,192,0,0,0,0,Saboteur,FALSE,,,,,
SOR,14,Sabine Wren,Galvanized Revolutionary,TRUE,Leader,"Aggression,Heroism",4,"Mandalorian,Rebel,Spectre",Action [{T}]: Deal 1 damage to each base.,On Attack: Deal 1 damage to each enemy base.,0,2,5,1,Eslam Aboshady,9/15/2023,FFG,https://www.instagram.com/p/CxN3s5_sJzH/,,,,,,,,,,,,
SOR,15,Boba Fett,Collecting the Bounty,TRUE,Leader,"Cunning,Villainy",5,"Underworld,Bounty Hunter","When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.

Epic Action: If you control 5 or more resources, deploy this leader.","When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.",0,4,7,1,French Carlomagno,8/18/2023,FFG,https://www.instagram.com/p/CwFxcoOtMnm/,,,,,,,,,,,,
SOR,16,Grand Admiral Thrawn,Patient and Insightful,TRUE,Leader,"Cunning,Villainy",6,"Imperial,Official","When the action phase starts: Look at the top card of each player's deck.

Action [{R1}, {T}]: Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.

Epic Action: If you control 6 or more resources, deploy this leader.","When the action phase starts: Look at the top card of each player's deck.

On Attack: Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.",0,3,9,3,Ivan Dedov,11/10/2023,FFG,https://www.instagram.com/p/CzeLE_eMZz6/,150,0,0,0,0,,,,,,,
SOR,17,Han Solo,Audacious Smuggler,TRUE,Leader,"Cunning,Heroism",6,Underworld,"Action [{T}]: Put a card from your hand into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.","On Attack: Put the top card of your deck into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.",0,4,6,3,David Nash,10/13/2023,FFG,https://twitter.com/UnlimitedFFG/status/1712848845753770367,,,,,,,,,,,,
SOR,18,Jyn Erso,Resisting Oppression,TRUE,Leader,"Cunning,Heroism",6,Rebel,Action [{T}]: Attack with a unit. The defender gets -1/-0 for this attack.,"When a friendly unit is attacking, the defender gets -1/-0.",0,4,7,1,Amélie Hutt,11/24/2023,FFG,https://www.instagram.com/p/C0COM8hs2HS/,160,0,0,0,0,,,,,,,
SOR,19,Security Complex,,FALSE,Base,Vigilance,,Scarif,Epic Action: Give a Shield token to a non-leader unit.,,,,25,3,Tyler Edlin,8/15/2023,FFG,https://www.instagram.com/p/Cv-DDcqtgAz/,,,,,,,,,,,,
SOR,20,Capital City,,FALSE,Base,Vigilance,,Lothal,,,,,30,1,Sebastián Guidobono,1/4/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,,,,,,,,,,,,
SOR,21,Dagobah Swamp,,FALSE,Base,Vigilance,,Dagobah,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,22,Energy Conversion Lab,,FALSE,Base,Command,,Eadu,Epic Action: Play a unit that costs 6 or less from your hand. Give it Ambush for this phase.,,,,25,3,Adrien Girod,9/12/2023,FFG,https://www.instagram.com/reel/CxGJTR7Nhy1/,,,,,,,,,,,,
SOR,23,Command Center,,FALSE,Base,Command,,Death Star,,,,,30,1,Stephen Zavala,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,24,Echo Base,,FALSE,Base,Command,,Hoth,,,,,30,1,Stephen Zavala,11/30/2023,FFG,,,,,,,,,,,,,
SOR,25,Tarkintown,,FALSE,Base,Aggression,,Lothal,Epic Action: Deal 3 damage to a damaged non-leader unit.,,,,25,3,Adrien Girod,10/10/2023,FFG,https://twitter.com/UnlimitedFFG/status/1711766123614458305,,,,,,,,,,,,
SOR,26,Catacombs of Cadera,,FALSE,Base,Aggression,,Jedha,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,27,Kestro City,,FALSE,Base,Aggression,,Vardos,,,,,30,1,Stephen Zavala,1/4/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,,,,,,,,,,,,
SOR,28,Jedha City,,FALSE,Base,Cunning,,Jedha,Epic Action: Give a non-leader unit -4/-0 for this phase.,,,,25,3,Rocío Espín,11/6/2023,FFG,https://www.instagram.com/p/CzT34ezMonH/,,,,,,,,,,,,
SOR,29,Administrator's Tower,,FALSE,Base,Cunning,,Cloud City,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,30,Chopper Base,,FALSE,Base,Cunning,,Atollon,,,,,30,1,Tyler Edlin,1/4/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,,,,,,,,,,,,
SOR,31,Inferno Four,Unforgetting,TRUE,Unit,"Vigilance,Villainy",2,"Imperial,Vehicle,Fighter",When Played/When Defeated: Look at the top 2 cards of your deck. Put any number of them on the bottom of your deck and the rest on top in any order.,,1,2,3,2,Randall Mackey,12/19/2023,Garbage Rollers,https://garbagerollers.com/2023/12/19/interview-with-lead-designer-danny-schaefer-exclusive-card-reveals/,189,0,0,0,1,,,,,,,
SOR,32,Scout Bike Pursuer,,FALSE,Unit,"Vigilance,Villainy",2,"Imperial,Trooper",Grit,,0,1,4,1,Mickael Balloul,12/7/2023,El Valle del Jedi,https://www.youtube.com/watch?v=IPHEMRW7h0Q,173,0,0,0,0,Grit,FALSE,,,,,
SOR,33,Death Trooper,,FALSE,Unit,"Vigilance,Villainy",3,"Imperial,Trooper",When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,,0,3,3,1,Borja Pindado,9/13/2023,Garbage Rollers,https://garbagerollers.com/2023/09/13/are-we-blind-deploy-the-spoilers/,98,0,0,2,0,,,,,,,
SOR,34,Del Meeko,Providing Overwatch,TRUE,Unit,"Vigilance,Villainy",3,"Imperial,Trooper","Restore 1

Each event an opponent plays costs {R1} more.",,0,3,3,3,Ario Murti,12/14/2023,Hunter & Friends - Brettspiele,https://www.youtube.com/shorts/awCKPmCwtUE,188,0,0,0,0,Restore,FALSE,,,,,
SOR,35,Lieutenant Childsen,Death Star Prison Warden,TRUE,Unit,"Vigilance,Villainy",4,"Imperial,Official","Sentinel

When Played: Reveal up to 4 {Vigilance} cards from your hand. For each card revealed this way, give an Experience token to this unit.",,0,2,2,2,Yvette Chua,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,67,2,2,0,0,Sentinel,FALSE,,,,,
SOR,36,Gideon Hask,Ruthless Loyalist,TRUE,Unit,"Vigilance,Villainy",5,"Imperial,Trooper",When an enemy unit is defeated: Give an Experience token to a friendly unit.,,0,5,5,3,Amélie Hutt,2/10/2024,FFG,https://www.youtube.com/watch?v=Ww-_N1Uswvc,262,1,1,0,0,,,,,,,
SOR,37,Academy Defense Walker,,FALSE,Unit,"Vigilance,Villainy",6,"Imperial,Vehicle,Walker","Sentinel

When Played: Give an Experience token to each friendly damaged unit.",,0,5,5,1,Ario Murti,10/25/2023,FFG Stream,https://www.youtube.com/watch?v=6_KuVhvdcX8,134,1,1,0,0,Sentinel,FALSE,,,,,
SOR,38,Count Dooku,Darth Tyranus,TRUE,Unit,"Vigilance,Villainy",7,"Force,Separatist,Sith","Shielded

When Played: You may defeat a unit with 4 or less remaining HP.",,0,5,4,3,Mona Finden,10/20/2023,FFG Stream,,125,0,0,4,0,Shielded,FALSE,,,,,
SOR,39,AT-AT Suppressor,,FALSE,Unit,"Vigilance,Villainy",8,"Imperial,Vehicle,Walker",When Played: Exhaust all ground units.,,0,8,8,2,Christian Papazoglakis,1/3/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,213,0,0,0,0,,,,,,,
SOR,40,Avenger,Hunting Star Destroyer,TRUE,Unit,"Vigilance,Villainy",9,"Imperial,Vehicle,Capital Ship",When Played/On Attack: An opponent chooses a non-leader unit they control. Defeat that unit.,,1,8,8,4,Francois Cannels,12/6/2023,FFG Stream,https://www.youtube.com/watch?v=FbA5ZtoUegE,,,,,,,,,,,,
SOR,41,Power of the Dark Side,,FALSE,Event,"Vigilance,Villainy",3,Innate,An opponent chooses a unit they control. Defeat that unit.,,,,,2,Eslam Aboshady,1/13/2024,Wampa Radio,https://www.youtube.com/watch?v=pEplQWszQzY,225,0,0,0,0,,,,,,,
SOR,42,Search Your Feelings,,FALSE,Event,"Vigilance,Villainy",4,Innate,Search your deck for a card and draw it.,,,,,3,David Nash,11/3/2023,Scrawl,https://www.youtube.com/watch?v=-u_TbUj2vac,,,,,,,,,,,,
SOR,43,Superlaser Blast,,FALSE,Event,"Vigilance,Villainy",8,"Disaster,Tactic",Defeat all units.,,,,,4,Liana Anatolevich,2/10/2024,FFG,https://www.youtube.com/watch?v=Ww-_N1Uswvc,264,0,0,0,0,,,,,,,
SOR,44,Restored ARC-170,,FALSE,Unit,"Vigilance,Heroism",2,"Rebel,Vehicle,Fighter",Restore 1,,1,2,3,1,Arthur Mougne,7/3/2023,I Rebel,https://www.youtube.com/watch?v=Q_n9IbiXe6c,13,0,0,0,0,Restore,FALSE,,,,,
SOR,45,Yoda,Old Master,TRUE,Unit,"Vigilance,Heroism",3,"Force,Jedi","Restore 2

When Defeated: Choose any number of players. They each draw a card.",,0,2,4,2,Alexandria Huntington,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,19,0,0,0,1,Restore,FALSE,,,,,
SOR,46,Consular Security Force,,FALSE,Unit,"Vigilance,Heroism",4,"Rebel,Trooper",,,0,3,7,1,Rebecca Farrow,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,47,Kanan Jarrus,Revealed Jedi,TRUE,Unit,"Vigilance,Heroism",4,"Force,Jedi,Rebel,Spectre",On Attack: You may discard 1 card from the defending player's deck for each friendly Spectre unit. Heal 1 damage from your base for each different aspect among the discarded cards.,,0,4,5,2,Sandra Chlewińska,9/20/2023,FFG,https://www.youtube.com/watch?v=dCu_3gDUx2o,103,0,0,0,0,,,,,,,
SOR,48,Vigilant Honor Guards,,FALSE,Unit,"Vigilance,Heroism",5,Rebel,"While this unit is undamaged, it gains Sentinel.",,0,4,6,1,Amad Mir,7/28/2023,Strictly Casual,https://www.youtube.com/shorts/vnenhAMgyM4,54,0,0,0,0,Sentinel,TRUE,,,,,
SOR,49,Obi-Wan Kenobi,Following Fate,TRUE,Unit,"Vigilance,Heroism",6,"Force,Jedi","Sentinel

When Defeated: Give 2 Experience tokens to another friendly unit. If it's a Force unit, draw a card.",,0,4,6,3,Amélie Hutt,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,66,2,2,0,0,Sentinel,FALSE,,,,,
SOR,50,The Ghost,Spectre Home Base,TRUE,Unit,"Vigilance,Heroism",6,"Rebel,Vehicle,Transport,Spectre","Shielded

When Played/On Attack: You may give a Shield token to another Spectre unit.",,1,5,5,2,Fernando Correa,2/6/2024,FFG,https://www.instagram.com/p/C3AxBgTstFs/,249,0,0,0,0,Shielded,FALSE,,,,,
SOR,51,Luke Skywalker,Jedi Knight,TRUE,Unit,"Vigilance,Heroism",7,"Force,Jedi,Rebel","Restore 3

When Played: Give an enemy unit -3/-3 for this phase. If a friendly unit was defeated this phase, give that enemy unit -6/-6 for this phase instead.",,0,6,7,4,Eric Hibbeler,11/29/2023,FFG Stream,https://www.youtube.com/watch?v=bAs6Tvc4FLI,165,0,0,3,0,Restore,FALSE,,,,,
SOR,52,Redemption,Medical Frigate,TRUE,Unit,"Vigilance,Heroism",8,"Rebel,Vehicle,Capital Ship","Sentinel

When Played: Heal up to 8 total damage from any number of units and/or bases. Deal that much damage to this unit.",,1,6,9,3,Christian Papazoglakis,12/13/2023,FFG Stream,https://www.youtube.com/watch?v=mhuftCbqDvE,182,0,0,0,0,Sentinel,FALSE,,,,,
SOR,53,Luke's Lightsaber,,TRUE,Upgrade,"Vigilance,Heroism",2,"Item,Weapon,Lightsaber","Attach to a non-Vehicle unit.

When Played: If attached unit is Luke Skywalker, heal all damage from him and give a Shield token to him.",,,3,1,0,French Carlomagno,8/23/2023,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,,,,,,,,,,,,
SOR,54,Jedi Lightsaber,,FALSE,Upgrade,"Vigilance,Heroism",3,"Item,Weapon,Lightsaber","Attach to a non-Vehicle unit.

If attached unit is a Force unit, it gains: ""On Attack: Give the defender -2/-2 for this phase.""",,,3,3,3,Arthur Mougne,11/29/2023,FFG Stream,https://www.youtube.com/watch?v=bAs6Tvc4FLI,,,,,,,,,,,,
SOR,55,The Force Is With Me,,FALSE,Event,"Vigilance,Heroism",4,Force,"Choose a friendly unit and give 2 Experience tokens to it. If you control a Force unit, also give a Shield token to the chosen unit.

You may attack with the chosen unit.",,,,,2,Ann Maulina,1/24/2024,Nelson All Over Cards,https://www.youtube.com/watch?v=LQQndwDH05c,237,0,0,0,0,,,,,,,
SOR,56,Bendu,The One In The Middle,TRUE,Unit,"Vigilance,Vigilance",6,"Force,Creature","Sentinel

On Attack: The next non-{Heroism}, non-{Villainy} card you play this turn costs {R2} less.",,0,4,7,3,Luke Harrington,1/23/2024,FFG,https://twitter.com/UnlimitedFFG/status/1749824465234538756,235,0,0,0,0,Sentinel,FALSE,,,,,
SOR,57,Protector,,FALSE,Upgrade,"Vigilance,Vigilance",1,Innate,Attached unit gains Sentinel.,,,1,1,2,Alex Accorsi,1/10/2024,FFG,https://twitter.com/UnlimitedFFG/status/1745113384712855999,221,0,0,0,0,,,,,,,
SOR,58,Vigilance,,FALSE,Event,"Vigilance,Vigilance",4,Innate,"Choose two, in any order:
- Discard 6 cards from an opponent's deck.
- Heal 5 damage from a base.
- Defeat a unit with 3 or less remaining HP.
- Give a Shield token to a unit.",,,,,4,Christina Laviña,8/9/2023,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,,,,,,,,,,,,
SOR,59,2-1B Surgical Droid,,FALSE,Unit,Vigilance,1,Droid,On Attack: You may heal 2 damage from another unit.,,0,1,3,1,Hoan Nguyen,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,,,,,,,,,,,,
SOR,60,Distant Patroller,,FALSE,Unit,Vigilance,2,"Fringe,Vehicle,Fighter",When Defeated: You may give a Shield token to a {Vigilance} unit.,,1,2,1,2,Francois Cannels,8/9/2023,Polygon,https://www.polygon.com/23826374/star-wars-unlimited-rules-preview-tcg-release-date-price,65,0,0,0,0,,,,,,,
SOR,61,Guardian of the Whills,,FALSE,Unit,Vigilance,2,"Force,Fringe",This first upgrade you play on this unit each round costs {R1} less.,,0,2,2,1,Alexandria Huntington,1/29/2024,Jade Throne Podcast,https://podcasts.apple.com/us/podcast/the-jade-throne-podcast/id1237838530,243,0,0,0,0,,,,,,,
SOR,62,Regional Governor,,FALSE,Unit,Vigilance,2,"Imperial,Official","When Played: Name a card. While this unit is in play, opponents can't play the named card.",,0,1,4,3,Yvette Chua,11/14/2023,Maindeck,https://www.youtube.com/watch?v=dKpX3vm5Fns,,,,,,,,,,,,
SOR,63,Cloud City Wing Guard,,FALSE,Unit,Vigilance,3,"Fringe,Trooper",Sentinel,,0,2,4,1,Tomas Oleksak,6/23/2023,Wossy Plays,https://www.youtube.com/watch?v=ZDKza3yNX9w,21,0,0,0,0,Sentinel,FALSE,,,,,
SOR,64,Wilderness Fighter,,FALSE,Unit,Vigilance,3,Trooper,Shielded,,0,2,4,1,Ash Pierce,11/28/2023,TowerNumberNine,https://www.youtube.com/watch?v=ok7P-rP_E7Q,162,0,0,0,0,Shielded,FALSE,,,,,
SOR,65,Baze Malbus,Temple Guardian,TRUE,Unit,Vigilance,4,Fringe,"Grit

While you have the initiative, this unit gains Sentinel.",,0,2,5,2,Milos Slaykovic,1/26/2024,FFG,https://twitter.com/UnlimitedFFG/status/1750911579275563498/photo/1,240,0,0,0,0,Grit,FALSE,Sentinel,TRUE,,,
SOR,66,System Patrol Craft,,FALSE,Unit,Vigilance,4,"Vehicle,Fighter",Sentinel,,1,3,4,1,Christian Papazoglakis,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,61,0,0,0,0,Sentinel,FALSE,,,,,
SOR,67,Rugged Survivors,,FALSE,Unit,Vigilance,5,Fringe,"Grit

On Attack: If you control a leader unit, you may draw a card.",,0,3,5,1,Elena Skitalets,9/4/2023,FFG,https://www.instagram.com/reel/Cwxi8kopeyO,88,0,0,0,0,Grit,FALSE,,,,,
SOR,68,Cargo Juggernaut,,FALSE,Unit,Vigilance,6,"Vehicle,Tank","Shielded

When Played: If you control another {Vigilance} unit, heal 4 damage from your base.",,0,4,6,1,Thomas Wievegg,1/3/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,214,0,0,0,0,Shielded,FALSE,,,,,
SOR,69,Resilient,,FALSE,Upgrade,Vigilance,1,Innate,,,,0,3,1,Joshua Carson,9/8/2023,Cross World TCG,https://www.youtube.com/watch?v=3UzLC-tKExk,,,,,,,,,,,,
SOR,70,Devotion,,FALSE,Upgrade,Vigilance,2,Innate,Attached unit gains Restore 2.,,,1,1,2,Liana Anatolevich,1/3/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,216,0,0,0,0,,,,,,,
SOR,71,Electrostaff,,FALSE,Upgrade,Vigilance,2,"Item,Weapon","Attach to a non-VEHICLE unit. 

While attached unit is defending, the attacker gets –1/–0.",,,2,2,3,Arthur Mougne,2/10/2024,FFG,https://www.youtube.com/watch?v=Ww-_N1Uswvc,258,0,0,0,0,,,,,,,
SOR,72,Entrenched,,FALSE,Upgrade,Vigilance,2,Condition,Attached unit can't attack bases.,,,3,3,2,Borja Pindado,8/21/2023,FFG,https://www.instagram.com/p/CwNfzmfsn6K/,,,,,,,,,,,,
SOR,73,Moment of Peace,,FALSE,Event,Vigilance,1,Innate,Give a Shield token to a unit.,,,,,1,Joshua Carson,12/27/2023,Nerdly,https://www.nerdly.co.uk/2023/12/27/exclusive-sneak-peek-at-3-upcoming-star-wars-unlimited-trading-cards/,,,,,,,,,,,,
SOR,74,Repair,,FALSE,Event,Vigilance,1,Supply,Heal 3 damage from a unit or base.,,,,,1,Joshua Carson,7/2/2023,Maindeck,https://www.youtube.com/watch?v=tIVvKt--lPc,,,,,,,,,,,,
SOR,75,It Binds All Things,,FALSE,Event,Vigilance,2,Force,"Heal up to 3 damage from a unit. If you control a Force unit, you may deal that much damage to another unit.",,,,,3,Amélie Hutt,8/28/2023,FFG,https://www.instagram.com/reel/CwfhXlssI8J/,,,,,,,,,,,,
SOR,76,Make an Opening,,FALSE,Event,Vigilance,3,Tactic,Give a unit -2/-2 for this phase. Heal 2 damage from your base.,,,,,1,Kevin Libranda,1/3/2024,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,,,,,,,,,,,,
SOR,77,Takedown,,FALSE,Event,Vigilance,4,Tactic,Defeat a unit with 5 or less remaining HP.,,,,,2,Eslam Aboshady,9/27/2023,FFG Stream,https://www.youtube.com/watch?v=OZGbAKs21W8,,,,,,,,,,,,
SOR,78,Vanquish,,FALSE,Event,Vigilance,5,Tactic,Defeat a non-leader unit.,,,,,1,Eslam Aboshady,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,,,,,
SOR,79,Admiral Piett,Captain of the Executor,TRUE,Unit,"Command,Villainy",2,"Imperial,Official",Each friendly non-leader unit that costs 6 or more gains Ambush.,,0,1,4,2,Denis Medri,9/8/2023,Cross World TCG,https://www.youtube.com/watch?v=3UzLC-tKExk,95,0,0,0,0,,,,,,,
SOR,80,General Tagge,Concerned Commander,TRUE,Unit,"Command,Villainy",2,"Imperial,Official",When Played: Give an Experience token to each of up to 3 Trooper units.,,0,2,2,2,Eric Hibbeler,10/24/2023,Max Tapera,https://www.youtube.com/watch?v=rSiEAriAigc,131,1,1,0,0,,,,,,,
SOR,81,Seasoned Shoretrooper,,FALSE,Unit,"Command,Villainy",2,"Imperial,Trooper","While you control 6 or more resources, this unit gets +2/+0.",,0,2,3,1,Milos Slaykovic,10/24/2023,Max Tapera,https://www.youtube.com/watch?v=rSiEAriAigc,,,,,,,,,,,,
SOR,82,Emperor's Royal Guard,,FALSE,Unit,"Command,Villainy",3,Imperial,"While you control an OFFICIAL unit, this unit gains Sentinel.

While you control Emperor Palpatine (as a leader or unit), this unit gets +0/+1.",,0,3,4,3,French Carlomagno,7/12/2023,FFG Stream,https://www.youtube.com/watch?v=6cWmjXCAFKg,24,0,1,0,0,Sentinel,TRUE,,,,,
SOR,83,Superlaser Technician,,FALSE,Unit,"Command,Villainy",3,Imperial,When Defeated: You may put this unit into play as a resource and ready it.,,0,2,1,1,Denis Medri,7/22/2023,Wampa Radio,https://www.youtube.com/watch?v=v2anF9BpUsA,,,,,,,,,,,,
SOR,84,Grand Moff Tarkin,Death Star Overseer,TRUE,Unit,"Command,Villainy",4,"Imperial,Official","When Played: Search the top 5 cards of your deck for up to 2 IMPERIAL cards, reveal them, and draw them.",,0,2,3,0,Steve Morris,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,25,0,0,0,2,,,,,,,
SOR,85,Rukh,Thrawn's Assassin,TRUE,Unit,"Command,Villainy",5,Imperial,"Shielded

When this unit deals combat damage to a non-leader unit while attacking: Defeat that unit.",,0,3,6,3,Elena Skitalets,1/25/2024,Geekbecois,https://geekbecois.com/star-wars-unlimited-annonce/,238,0,0,0,0,Shielded,FALSE,,,,,
