set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional,Makes_Droids,Makes_Clones,Makes_Ties,Heals,Ramps,Makes_X_Wings,Indirect,Makes Force,Readies,Bounce,Cannot_Attack,Makes_Spies,Disclose_Symbols,Cheat_Action,Exhaust,Capture,Multideploy
SOR,023,Command Center,NULL,False,Base,Command,NULL,Death Star,NULL,NULL,NULL,NULL,30,1,Stephen Zavala,2023-06-27,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,024,Echo Base,NULL,False,Base,Command,NULL,Hoth,NULL,NULL,NULL,NULL,30,1,Stephen Zavala,2023-11-30,FFG,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,025,Tarkintown,NULL,False,Base,Aggression,NULL,Lothal,{p}{b}Epic Action:{/b} Deal 3 damage to a damaged non-leader unit.{/p},NULL,NULL,NULL,25,3,Adrien Girod,2023-10-10,FFG,https://twitter.com/UnlimitedFFG/status/1711766123614458305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,026,Catacombs of Cadera,NULL,False,Base,Aggression,NULL,Jedha,NULL,NULL,NULL,NULL,30,1,Tyler Edlin,2023-06-27,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,027,Kestro City,NULL,False,Base,Aggression,NULL,Vardos,NULL,NULL,NULL,NULL,30,1,Stephen Zavala,2024-01-04,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,028,Jedha City,NULL,False,Base,Cunning,NULL,Jedha,{p}{b}Epic Action:{/b} Give a non-leader unit -4/-0 for this phase.{/p},NULL,NULL,NULL,25,3,Rocío Espín,2023-11-06,FFG,https://www.instagram.com/p/CzT34ezMonH/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,029,Administrator's Tower,NULL,False,Base,Cunning,NULL,Cloud City,NULL,NULL,NULL,NULL,30,1,Tyler Edlin,2023-06-27,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,030,Chopper Base,NULL,False,Base,Cunning,NULL,Atollon,NULL,NULL,NULL,NULL,30,1,Tyler Edlin,2024-01-04,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,031,Inferno Four,Unforgetting,True,Unit,"Vigilance,Villainy",2,"Imperial,Vehicle,Fighter",{p}{b}When Played/When Defeated:{/b} Look at the top 2 cards of your deck. Put any number of them on the bottom of your deck and the rest on top in any order.{/p},NULL,1,2,3,2,Randall Mackey,2023-12-19,Garbage Rollers,https://garbagerollers.com/2023/12/19/interview-with-lead-designer-danny-schaefer-exclusive-card-reveals/,189,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,032,Scout Bike Pursuer,NULL,False,Unit,"Vigilance,Villainy",2,"Imperial,Trooper",{p}{grit} {i}(This unit gets +1/+0 for each damage on it.){/i}{/p},NULL,0,1,4,1,Mickael Balloul,2023-12-07,El Valle del Jedi,https://www.youtube.com/watch?v=IPHEMRW7h0Q,173,0,0,0,0,Grit,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,033,Death Trooper,NULL,False,Unit,"Vigilance,Villainy",3,"Imperial,Trooper",{p}{b}When Played:{/b} Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.{/p},NULL,0,3,3,1,Borja Pindado,2023-09-13,Garbage Rollers,https://garbagerollers.com/2023/09/13/are-we-blind-deploy-the-spoilers/,98,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,-2,,,,,,,,,,,,,
SOR,034,Del Meeko,Providing Overwatch,True,Unit,"Vigilance,Villainy",3,"Imperial,Trooper","{p}{restore:1} {i}(When this unit attacks, heal 1 damage from your base.){/i}{/p}

{p}Each event an opponent plays costs {R1} more.{/p}",NULL,0,3,3,3,Ario Murti,2023-12-14,Hunter & Friends - Brettspiele,https://www.youtube.com/shorts/awCKPmCwtUE,188,0,0,0,0,Restore,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,035,Lieutenant Childsen,Death Star Prison Warden,True,Unit,"Vigilance,Villainy",4,"Imperial,Official","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{b}When Played:{/b} Reveal up to 4 {Vigilance} cards from your hand. For each card revealed this way, give an Experience token to this unit.{/p}",NULL,0,2,2,2,Yvette Chua,2023-08-09,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,67,2,2,0,0,Sentinel,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,036,Gideon Hask,Ruthless Loyalist,True,Unit,"Vigilance,Villainy",5,"Imperial,Trooper",{p}{b}When an enemy unit is defeated:{/b} Give an Experience token to a friendly unit.{/p},NULL,0,5,5,3,Axel Hutt,2024-02-10,FFG,https://www.youtube.com/watch?v=Ww-_N1Uswvc,262,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,037,Academy Defense Walker,NULL,False,Unit,"Vigilance,Villainy",6,"Imperial,Vehicle,Walker","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{b}When Played:{/b} Give an Experience token to each friendly damaged unit.{/p}",NULL,0,5,5,1,Ario Murti,2023-10-25,FFG Stream,https://www.youtube.com/watch?v=6_KuVhvdcX8,134,1,1,0,0,Sentinel,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,038,Count Dooku,Darth Tyranus,True,Unit,"Vigilance,Villainy",7,"Force,Separatist,Sith","{p}{shielded} {i}(When you play this unit, give him a Shield token.){/i}{/p}

{p}{b}When Played:{/b} You may defeat a unit with {hp:4} or less remaining HP.{/p}",NULL,0,5,4,3,Mona Finden,2023-10-20,FFG Stream,,125,0,0,4,0,Shielded,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,039,AT-AT Suppressor,NULL,False,Unit,"Vigilance,Villainy",8,"Imperial,Vehicle,Walker",{p}{b}When Played:{/b} Exhaust all ground units.{/p},NULL,0,8,8,2,Christian Papazoglakis,2024-01-03,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,213,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,040,Avenger,Hunting Star Destroyer,True,Unit,"Vigilance,Villainy",9,"Imperial,Vehicle,Capital Ship",{p}{b}When Played/On Attack:{/b} An opponent chooses a non-leader unit they control. Defeat that unit.{/p},NULL,1,8,8,4,Francois Cannels,2023-12-06,FFG Stream,https://www.youtube.com/watch?v=FbA5ZtoUegE,NULL,0,0,5,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,041,Power of the Dark Side,NULL,False,Event,"Vigilance,Villainy",3,Innate,An opponent chooses a unit they control. Defeat that unit.,NULL,NULL,NULL,NULL,2,Eslam AboShady,2024-01-13,Wampa Radio,https://www.youtube.com/watch?v=pEplQWszQzY,225,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,042,Search Your Feelings,NULL,False,Event,"Vigilance,Villainy",4,Innate,"{p}Search your deck for a card and draw it. {i}(Then, shuffle your deck.){/i}{/p}",NULL,NULL,NULL,NULL,3,David Nash,2023-11-03,Scrawl,https://www.youtube.com/watch?v=-u_TbUj2vac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,043,Superlaser Blast,NULL,False,Event,"Vigilance,Villainy",8,"Disaster,Tactic",{p}Defeat all units.{/p},NULL,NULL,NULL,NULL,4,Liana Anatolevich,2024-02-10,FFG,https://www.youtube.com/watch?v=Ww-_N1Uswvc,264,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,044,Restored ARC-170,NULL,False,Unit,"Vigilance,Heroism",2,"Rebel,Vehicle,Fighter","{restore:1} {em}(When this unit attacks, heal 1 damage from your base.){/em}",NULL,1,2,3,1,Arthur Mougne,2023-07-03,I Rebel,https://www.youtube.com/watch?v=Q_n9IbiXe6c,13,0,0,0,0,Restore,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,045,Yoda,Old Master,True,Unit,"Vigilance,Heroism",3,"Force,Jedi","{p}{restore:2} {em}(When this unit attacks, heal 2 damage from your base.){/em}{/p}{p}{strong}When Defeated:{/strong} Choose any number of players. They each draw a card.{/p}",NULL,0,2,4,2,Alexandria Huntington,2023-06-27,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,19,0,0,0,1,Restore,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,046,Consular Security Force,NULL,False,Unit,"Vigilance,Heroism",4,"Rebel,Trooper",NULL,NULL,0,3,7,1,Rebecca Farrow,2023-06-27,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,047,Kanan Jarrus,Revealed Jedi,True,Unit,"Vigilance,Heroism",4,"Force,Jedi,Rebel,Spectre",{p}{b}On Attack:{/b} You may discard 1 card from the defending player's deck for each friendly {spectre} unit. Heal 1 damage from your base for each different aspect among the discarded cards.,NULL,0,4,5,2,Sandra Chlewińska,2023-09-20,FFG,https://www.youtube.com/watch?v=dCu_3gDUx2o,103,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,1.5,,,,,,,,,,,,,
SOR,048,Vigilant Honor Guards,NULL,False,Unit,"Vigilance,Heroism",5,Rebel,"{p-keyword-border}While this unit is undamaged, it gains {sentinel}. {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}",NULL,0,4,6,1,Amad Mir,2023-07-28,Strictly Casual,https://www.youtube.com/shorts/vnenhAMgyM4,54,0,0,0,0,Sentinel,True,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,049,Obi-Wan Kenobi,Following Fate,True,Unit,"Vigilance,Heroism",6,"Force,Jedi","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{b}When Defeated:{/b} Give 2 Experience tokens to another friendly unit. If it's a {force} unit, draw a card.{/p}",NULL,0,4,6,3,Axel Hutt,2023-08-09,FFG Stream,https://www.youtube.com/watch?v=Ks1eLGb5UFg,66,2,2,0,0,Sentinel,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,050,The Ghost,Spectre Home Base,True,Unit,"Vigilance,Heroism",6,"Rebel,Vehicle,Transport,Spectre","{p}{shielded} {i}(When you play this unit, give it a Shield token.){/i}{/p}

{p}{b}When Played/On Attack:{/b} You may give a Shield token to another {spectre} unit.{/p}",NULL,1,5,5,2,Fernando Correa,2024-02-06,FFG,https://www.instagram.com/p/C3AxBgTstFs/,249,0,0,0,0,Shielded,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,051,Luke Skywalker,Jedi Knight,True,Unit,"Vigilance,Heroism",7,"Force,Jedi,Rebel","{p}{keyword}Restore 3{/keyword}{/p}

{p}{b}When Played:{/b} Give an enemy unit -3/-3 for this phase. If a friendly unit was defeated this phase, give that enemy unit -6/-6 for this phase instead.{/p}",NULL,0,6,7,4,Eric Hibbeler,2023-11-29,FFG Stream,https://www.youtube.com/watch?v=bAs6Tvc4FLI,165,0,0,3,0,Restore,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,052,Redemption,Medical Frigate,True,Unit,"Vigilance,Heroism",8,"Rebel,Vehicle,Capital Ship","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{b}When Played:{/b} Heal up to 8 total damage from any number of units and/or bases. Deal that much damage to this unit.{/p}",NULL,1,6,9,3,Christian Papazoglakis,2023-12-13,FFG Stream,https://www.youtube.com/watch?v=mhuftCbqDvE,182,0,0,0,0,Sentinel,False,NULL,NULL,NULL,NULL,,,,8,,,,,,,,,,,,,
SOR,053,Luke's Lightsaber,NULL,True,Upgrade,"Vigilance,Heroism",2,"Item,Weapon,Lightsaber","{p}Attach to a non-{vehicle} unit.{/p}

{p}{b}When Played:{/b} If attached unit is Luke Skywalker, heal all damage from him and give a Shield token to him.{/p}",NULL,NULL,0,0,5,French Carlomagno,2023-08-23,FFG Stream,https://www.youtube.com/watch?v=MQWzu7tz7lg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,054,Jedi Lightsaber,NULL,False,Upgrade,"Vigilance,Heroism",3,"Item,Weapon,Lightsaber","{p}Attach to a non-{vehicle} unit.{/p}

{p}If attached unit is a {force} unit, it gains: ""{b}On Attack:{/b} Give the defender -2/-2 for this phase.""{/p}",NULL,NULL,0,0,3,Arthur Mougne,2023-11-29,FFG Stream,https://www.youtube.com/watch?v=bAs6Tvc4FLI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,055,The Force Is With Me,NULL,False,Event,"Vigilance,Heroism",4,Force,"{p}Choose a friendly unit and give 2 Experience tokens to it. If you control a {force} unit, also give a Shield token to the chosen unit.{/p}

{p}You may attack with the chosen unit.{/p}",NULL,NULL,NULL,NULL,2,Ann Maulina,2024-01-24,Nelson All Over Cards,https://www.youtube.com/watch?v=LQQndwDH05c,237,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
